"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.34540334266923e-07,0.731548664659315,0.925,0.848,0.0133830901900237,"8","ATM"
6.35845324308523e-07,0.959739372817467,0.83,0.696,0.0134106137349911,"8","IFI16"
6.3846828267086e-07,1.06287720710612,0.679,0.403,0.0134659345498111,"8","OFD1"
6.41702837738221e-07,0.347043032090216,1,0.972,0.0135341545507368,"8","SERF2"
7.47841080852459e-07,1.32513999600687,0.585,0.323,0.0157727162362592,"8","NARF"
7.49743864619634e-07,1.79369414307919,0.415,0.167,0.0158128478486927,"8","SYNJ2"
7.56308172179634e-07,1.18545650552037,0.83,0.686,0.0159512956594407,"8","CALR"
7.98181092629594e-07,1.34488537368047,0.604,0.328,0.0168344374246508,"8","TANC2"
8.03822091198682e-07,2.15167618258054,0.283,0.088,0.0169534117254714,"8","AHDC1"
8.07838042392793e-07,1.19543775120543,0.623,0.348,0.0170381121521064,"8","BCR"
8.31281029651957e-07,1.41051571183144,0.642,0.418,0.0175325481963894,"8","VPS26A"
8.365106945583e-07,1.11627703844436,0.755,0.574,0.0176428470589291,"8","DENND4C"
8.40806093799209e-07,0.946293583035244,0.906,0.794,0.0177334413243191,"8","PIK3R5"
9.09657641816377e-07,1.97968904173585,0.321,0.111,0.0191855893235492,"8","TIMM22"
9.71822073421675e-07,0.788067142263028,0.868,0.57,0.0204966993505365,"8","PCED1B-AS1"
9.740316097039e-07,1.87170564528083,0.415,0.182,0.020543300680265,"8","STAG3L4"
9.9454836612421e-07,2.22859753526474,0.302,0.103,0.0209760195899257,"8","FBXO6"
1.00691084350442e-06,2.40008654164068,0.264,0.081,0.0212367566003518,"8","FBXL6"
1.00789502295715e-06,1.51520597534718,0.34,0.115,0.0212575139291894,"8","SKAP1-AS1"
1.02638447493792e-06,1.6344076451605,0.528,0.284,0.0216474749609156,"8","TRPV2"
1.0721399054352e-06,0.77272071877873,0.925,0.791,0.0226125027455338,"8","LRBA"
1.07835145179313e-06,0.896025555185749,0.83,0.743,0.0227435104697689,"8","PDIA3"
1.08575097531768e-06,0.628107780347764,1,0.974,0.0228995738204251,"8","CELF2"
1.09605304764893e-06,0.834751580757813,0.755,0.612,0.0231168548279635,"8","TRAPPC1"
1.11089441198424e-06,1.53082748717498,0.566,0.316,0.0234298740431597,"8","CDK2AP2"
1.16378174354183e-06,0.802199255807932,0.83,0.544,0.0245453207530407,"8","CKLF"
1.17421437513971e-06,1.67180103556415,0.491,0.225,0.0247653553860716,"8","GPR141"
1.17743391505769e-06,0.766888052617985,0.906,0.824,0.0248332587024817,"8","TCF25"
1.22325799781643e-06,1.86482589426569,0.321,0.111,0.0257997344319463,"8","GPKOW"
1.24541830890434e-06,1.27733326286297,0.679,0.428,0.0262671175531015,"8","FAM117A"
1.28989535457892e-06,1.13924244911909,0.849,0.805,0.027205182923424,"8","EIF3G"
1.43808859003447e-06,2.26011616121591,0.264,0.08,0.030330726452417,"8","AP4B1"
1.49101570197547e-06,1.69031441117841,0.358,0.134,0.0314470121703647,"8","PGGHG"
1.53738972972841e-06,1.36247858123384,0.528,0.293,0.0324250867897018,"8","NT5C"
1.54327464586446e-06,0.857144154095832,0.83,0.608,0.0325492055559273,"8","YPEL3"
1.60705011677603e-06,1.70350180426011,0.396,0.169,0.0338942940129233,"8","CRELD2"
1.64775223696619e-06,1.26110924852126,0.642,0.411,0.034752742429854,"8","TAP1"
1.71538200668443e-06,1.35628417333136,0.547,0.301,0.0361791219029813,"8","MRPS12"
1.72020498426722e-06,0.998340396091793,0.698,0.524,0.03628084332318,"8","BSG"
1.72666908335593e-06,1.10605047838873,0.717,0.635,0.0364171776370599,"8","NDUFB2"
1.73683034559118e-06,1.05835055207074,0.755,0.506,0.0366314888188636,"8","ATP8A1"
1.76565756724664e-06,0.837903127572471,0.792,0.554,0.0372394837507989,"8","CLEC2B"
1.87441512723699e-06,1.63820018896366,0.358,0.131,0.0395332894485554,"8","TLE1"
1.96134892513526e-06,0.880736973401232,0.774,0.569,0.0413668101800277,"8","GIMAP1"
1.97772673770097e-06,2.56799834089875,0.283,0.095,0.0417122346248512,"8","TMTC4"
2.13514173483163e-06,1.74647202024431,0.415,0.191,0.0450322743293338,"8","CASP10"
2.18775555370371e-06,1.01772940403477,0.698,0.472,0.046141952383165,"8","RBBP4"
2.25342649532105e-06,2.12808124240527,0.34,0.135,0.0475270182128163,"8","NPRL2"
2.26227519916437e-06,1.3257882636052,0.604,0.358,0.0477136462255757,"8","ABHD2"
2.39630177292721e-06,1.45419203807255,0.491,0.243,0.0505404006928079,"8","ENSG00000282885"
2.41848116071168e-06,1.15678260137071,0.642,0.4,0.0510081861605701,"8","EPS15L1"
2.46067240378874e-06,1.91018117435034,0.358,0.147,0.0518980416683084,"8","FUT11"
2.46936313286672e-06,1.26340381133544,0.623,0.385,0.052081337835292,"8","MLLT6"
2.75867672043209e-06,1.30635991353158,0.547,0.288,0.0581832507106331,"8","PLEKHA1"
2.84737593172385e-06,1.08518365305561,0.698,0.452,0.0600540057759876,"8","SFMBT2"
2.90067946851255e-06,1.90065147563648,0.302,0.106,0.0611782306703982,"8","NAA30"
2.92536068930232e-06,0.781596651361672,0.774,0.562,0.0616987822980752,"8","PARP4"
3.08136976295949e-06,0.925761489692189,0.83,0.691,0.0649891696705785,"8","PPIB"
3.09493556705524e-06,1.60406734794476,0.547,0.328,0.0652752860447622,"8","BMAL1"
3.24552184877938e-06,0.880526497586368,0.774,0.604,0.0684513013126058,"8","PSMA6"
3.32776589163252e-06,1.51991856050469,0.472,0.249,0.0701859104204215,"8","CYB561D2"
3.53180063820932e-06,0.33987429317753,1,0.99,0.0744892072604727,"8","MALAT1"
3.56230428511387e-06,1.69926383423409,0.358,0.147,0.0751325596773367,"8","B4GALT4"
3.68022527067906e-06,1.39986580550113,0.528,0.31,0.077619631183892,"8","AHSA1"
3.73490435327104e-06,1.30642676075175,0.491,0.251,0.0787728677148396,"8","STK26"
3.82222326562444e-06,0.88294682962967,0.811,0.655,0.080614510895285,"8","SRP9"
3.97490069373627e-06,0.798382447136951,0.868,0.722,0.0838346305315916,"8","UCP2"
4.06048657156885e-06,1.22813310095396,0.604,0.417,0.0856397222809587,"8","COPS6"
4.16730134792009e-06,1.15784982631289,0.623,0.409,0.0878925527289826,"8","ADH5"
4.17707188499165e-06,0.890793086021654,0.83,0.666,0.088098623126359,"8","ADD1"
4.30844313405735e-06,1.03176711346669,0.66,0.455,0.0908693741404036,"8","SELENOW"
4.38509838500772e-06,0.821022226189947,0.755,0.587,0.0924861100381977,"8","SELENOT"
4.50759694423503e-06,1.28612477229278,0.623,0.417,0.095069727150861,"8","ALOX5AP"
4.74856459591965e-06,1.73123787079778,0.34,0.131,0.100151975892541,"8","TCTA"
4.9079988336646e-06,1.31096459622839,0.283,0.09,0.10351460340082,"8","FCRL3"
5.05575201211014e-06,0.89558600295891,0.755,0.579,0.106630865687415,"8","DRAP1"
5.08347276360161e-06,1.2196168124484,0.698,0.568,0.107215524057121,"8","NDUFB7"
5.12335804985432e-06,0.87070003412692,0.66,0.459,0.108056744629477,"8","COMMD7"
5.15596209483278e-06,0.637731648967524,0.906,0.765,0.108744396542118,"8","PPP3CA"
5.20134943052009e-06,0.930720065651708,0.585,0.298,0.109701660839099,"8","ZNF831"
5.21221602300261e-06,1.18054569092744,0.547,0.314,0.109930848141148,"8","ENSG00000291143"
5.22061596433265e-06,0.640020804194028,0.887,0.703,0.11010801130374,"8","VAMP8"
5.28959259083403e-06,0.999744509437516,0.755,0.624,0.11156279733328,"8","HLA-F"
5.31778502474806e-06,1.78662451651597,0.358,0.152,0.112157403956961,"8","ST6GALNAC6"
5.43498096251483e-06,1.92520380990926,0.321,0.124,0.1146291834804,"8","UBALD1"
5.4503112508583e-06,0.918640759043751,0.396,0.148,0.114952514591852,"8","LINC01871"
5.47749820741494e-06,1.48770094975942,0.453,0.226,0.115525914692589,"8","C19orf12"
5.47856572980335e-06,1.4055856694636,0.509,0.284,0.115548429807283,"8","CYTOR"
5.52048796382743e-06,0.854952882354028,0.792,0.662,0.116432611645084,"8","ARF6"
5.56951805254651e-06,1.94602885667671,0.264,0.086,0.117466705246258,"8","ENSG00000262370"
6.00875915215041e-06,1.16779942739946,0.604,0.334,0.126730739278004,"8","UST"
6.00909979271833e-06,1.12040329669491,0.604,0.34,0.126737923728222,"8","NUCB2"
6.21111087335399e-06,1.80492710943853,0.283,0.096,0.130998539429909,"8","ALG12"
6.24169781648771e-06,0.94405997376814,0.698,0.456,0.131643648647542,"8","BTN3A2"
6.29418717105547e-06,1.75333159083124,0.415,0.203,0.132750701624731,"8","TXNDC9"
6.90788675171104e-06,1.2829575508903,0.509,0.286,0.145694239480338,"8","ZNF276"
7.03325770245737e-06,1.9054639247463,0.302,0.11,0.148338438202528,"8","GPX7"
7.2771969709899e-06,0.946792636575951,0.792,0.652,0.153483361315148,"8","IFNAR2"
7.40078132540297e-06,0.999855916671365,0.528,0.249,0.156089878934074,"8","APBA2"
7.62864375587654e-06,1.61755316024741,0.396,0.181,0.160895725455192,"8","USB1"
7.63896698060895e-06,1.30535054057831,0.642,0.479,0.161113452588023,"8","PDIA6"
7.66780765030618e-06,1.97854180738077,0.415,0.201,0.161721731152608,"8","MIR4435-2HG"
7.7589177299699e-06,1.35408281627831,0.528,0.317,0.163643333842795,"8","HDDC2"
7.81072790675343e-06,0.954156663260272,0.774,0.647,0.164736062281337,"8","ATP5IF1"
7.88177728118491e-06,1.13680417278877,0.604,0.372,0.166234564637471,"8","RHOF"
7.91106026944832e-06,1.44519278018244,0.528,0.305,0.166852172142935,"8","GYG1"
8.23953467417092e-06,1.54385247200392,0.453,0.242,0.173780025812939,"8","PEX2"
9.05833257297689e-06,0.871157048446944,0.698,0.491,0.191049292296655,"8","CHFR"
9.16847462074416e-06,1.49048543526198,0.491,0.272,0.193372298226115,"8","SEC24C"
9.44680847930596e-06,1.86709076941627,0.396,0.186,0.199242637637042,"8","ASL"
9.49592613900963e-06,0.735574207484264,0.887,0.795,0.200278578197852,"8","HNRNPF"
9.57145283118904e-06,1.22018150823522,0.528,0.298,0.201871511662608,"8","ENSG00000291178"
9.71369599853417e-06,0.732156706757379,0.774,0.452,0.204871562305084,"8","SCML4"
9.73302385986092e-06,0.426259574504693,1,0.994,0.205279206228327,"8","ACTB"
9.76059101697554e-06,1.07665514170122,0.528,0.281,0.205860625139031,"8","TBCC"
9.78456550537973e-06,0.652118263801802,0.755,0.608,0.206366271073964,"8","WDR1"
9.89622643780495e-06,1.7897719495783,0.34,0.14,0.208721311799744,"8","ATG4D"
9.92187962272574e-06,0.713802779662117,0.66,0.371,0.209262363122909,"8","LAT"
1.02429006356686e-05,0.834977446127146,0.755,0.54,0.216033017306887,"8","GRK6"
1.03049578770887e-05,0.57244973684295,0.962,0.818,0.217341866585678,"8","LSP1"
1.04357919895289e-05,0.988236690673904,0.774,0.589,0.220101288851155,"8","RAP1GDS1"
1.06109958292015e-05,1.01856913053864,0.66,0.443,0.223796513033689,"8","CYTH4"
1.06456498159086e-05,0.565144922431619,0.925,0.774,0.224527400267327,"8","EPC1"
1.08487147590895e-05,0.721567233305943,0.887,0.775,0.228810242983957,"8","STIM1"
1.13299016466321e-05,1.35243130120786,0.453,0.232,0.238958955629117,"8","SBF1"
1.13551367533073e-05,1.18969427743306,0.623,0.374,0.239491189264004,"8","MNAT1"
1.16139763724501e-05,1.62602789796308,0.434,0.227,0.244950375671345,"8","STARD3NL"
1.21596974671062e-05,1.3939372053255,0.434,0.206,0.256460179278737,"8","GBP5"
1.21871824856645e-05,1.25474020821558,0.604,0.418,0.257039865805151,"8","ARHGAP9"
1.22525003428734e-05,1.0485441827937,0.642,0.435,0.258417484731542,"8","SELPLG"
1.26200901807715e-05,0.69695808830771,0.868,0.703,0.266170322002652,"8","CNOT6L"
1.2931386145018e-05,1.65508787541698,0.377,0.175,0.272735865184575,"8","WIPI1"
1.33579693711778e-05,1.38312400026163,0.415,0.191,0.281732932007511,"8","CERS4"
1.34476288432563e-05,0.365618876637327,0.736,0.503,0.283623939933119,"8","CDKN2D"
1.36440888930752e-05,0.988085398790375,0.83,0.644,0.287767478843848,"8","GATAD2A"
1.43199677707906e-05,1.49340513944658,0.472,0.255,0.302022440253744,"8","BCL2L1"
1.49036835887154e-05,0.54019107699074,0.962,0.932,0.314333590569597,"8","CYTH1"
1.52924187548806e-05,0.914816007625816,0.774,0.634,0.322532403959186,"8","SNRPB"
