Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000116285,ERRFI1,0.015212249483520708,0.7699441630116848,0.5663294987569625,0.008056511418893929,-0.7699441630116848,0.5663294987569621
ENSG00000238290,ERRFI1-DT,0.001267687456960059,-0.930495555129407,0.7726851161955045,0.0032226045675575713,0.930495555129407,0.7726851161955045
ENSG00000288816,ENSG00000288816,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000162426,SLC45A1,0.015212249483520708,3.35490666373284,0.009001772489405598,0,-3.35490666373284,0.009001772489405596
ENSG00000142599,RERE,3.0335760845054214,0.2984738006102936,0.3301862004639358,2.4669037964653207,-0.2984738006102936,0.33018620046389857
ENSG00000232912,RERE-AS1,0.038030623708801774,0.9082235378375323,0.15937753759267845,0.01933562740534543,-0.9082235378375323,0.15937753759267842
ENSG00000228423,ENSG00000228423,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000074800,ENO1,1.9902693074272928,-0.7385936950005394,0.0018603994330228346,3.322505309151856,0.7385936950005394,0.0018603994330228346
ENSG00000230679,ENO1-AS1,0.02535374913920118,2.046784368370509,0.023267362213245366,0.004833906851336357,-2.046784368370509,0.023267362213245366
ENSG00000131686,CA6,0.08620274707328401,4.762991402369917,0.000000000028310746079498727,0.0016113022837787856,-4.762991402369917,0.000000000028310746079498727
ENSG00000290109,ENSG00000290109,0.08113199724544377,5.676834758620203,0.000000000004894965646480936,0,-5.676834758620203,0.000000000004894965646480931
ENSG00000142583,SLC2A5,0.024086061682241124,2.97639504047911,0.001461339313844833,0.0016113022837787856,-2.97639504047911,0.0014613393138448328
ENSG00000180758,GPR157,0.05451056064928254,-0.05602643721326572,1,0.0563955799322575,0.05602643721326572,1
ENSG00000228526,MIR34AHG,0.001267687456960059,-3.432995895658591,0.00020991537333855527,0.02578083654046057,3.432995895658591,0.00020991537333855525
ENSG00000234546,LNCTAM34A,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000049239,H6PD,0.18381468125920855,-0.5819732502303319,0.06840549780679928,0.27553269052617235,0.5819732502303319,0.0684054978067992
ENSG00000171621,SPSB1,0.07352587250368342,0.44964715370325026,0.5470562465246094,0.05317297536469993,-0.44964715370325026,0.5470562465246093
ENSG00000284693,LINC02606,0.005070749827840236,1.97639504047911,0.31475278111737587,0,-1.97639504047911,0.3147527811173759
ENSG00000171612,SLC25A33,0.4234076106246597,-1.012798204564306,0.00007416696649863105,0.8556015126865352,1.012798204564306,0.0000741669664986304
ENSG00000188807,TMEM201,0.017747624397440827,-0.4386424587997322,0.6961747813268345,0.024169534256681786,0.4386424587997322,0.6961747813268334
ENSG00000171608,PIK3CD,2.8244076541070116,0.7240797960473477,0.003413389359177957,1.7095917230892916,-0.7240797960473477,0.003413389359177963
ENSG00000179840,PIK3CD-AS1,0.006338437284800295,-0.930495555129407,0.47765683642157925,0.012890418270230285,0.930495555129407,0.477656836421579
ENSG00000231789,PIK3CD-AS2,0.25860824121985204,2.810385089040182,0.000000000000004003647383173595,0.03544865024313328,-2.810385089040182,0.0000000000000040036473831735834
ENSG00000171603,CLSTN1,0.6908896640432322,0.9593215271201698,0.00028207230216052297,0.35448650243133284,-0.9593215271201698,0.0002820723021605218
ENSG00000178585,CTNNBIP1,0.23325449208065085,-0.7389640974977199,0.010522907348183749,0.38993515267446616,0.7389640974977199,0.010522907348183761
ENSG00000285701,ENSG00000285701,0.006338437284800295,1.2394294463129043,0.44052307210373887,0.0016113022837787856,-1.2394294463129043,0.4405230721037389
ENSG00000162441,LZIC,0.2750881781603328,0.0739231161375975,0.954248036436459,0.2610309699721633,-0.0739231161375975,0.9542480364364594
ENSG00000228150,ENSG00000228150,0.003803062370880177,-0.6674611492956135,0.8868858950641424,0.0064452091351151425,0.6674611492956135,0.8868858950641424
ENSG00000173614,NMNAT1,0.05451056064928254,-1.1898821839480567,0.0017596000901334236,0.1256815781347453,1.1898821839480567,0.0017596000901334218
ENSG00000162444,RBP7,0.002535374913920118,-8.010868971593426,0.000000000000000000000000000000000000000000000000000000000000000000005256513365697245,0.9796717885375017,8.010868971593426,0.000000000000000000000000000000000000000000000000000000000000000000005256513365697257
ENSG00000130939,UBE4B,0.8848458449581212,-0.2362344119174395,0.48226833813976105,1.0425125776048743,0.2362344119174395,0.48226833813976117
ENSG00000054523,KIF1B,0.363826300147537,-1.8638583620991165,0.00000000000005778358558889611,1.3277130818337195,1.8638583620991165,0.00000000000005778358558889639
ENSG00000284735,ENSG00000284735,0.003803062370880177,-0.3455330544082509,1,0.004833906851336357,0.3455330544082509,1
ENSG00000284642,ENSG00000284642,0.002535374913920118,-1.0824986485744574,0.6471242317822016,0.0064452091351151425,1.0824986485744574,0.6471242317822016
ENSG00000142657,PGD,0.14705174500736684,-3.5044555617930917,0.00000000000000000000000000000000000001185072639945898,1.6821995842650523,3.5044555617930917,0.000000000000000000000000000000000000011850726399457797
ENSG00000271989,ENSG00000271989,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000175279,CENPS,0.03169218642400148,1.7699441630116848,0.016997366844113113,0.008056511418893929,-1.7699441630116848,0.016997366844113123
ENSG00000241563,CORT,0.003803062370880177,1.6544669455917482,0.45527785729580433,0,-1.6544669455917482,0.4552778572958042
ENSG00000160049,DFFA,0.19775924328576922,0.39449884280573855,0.31733026377066675,0.14985111239142707,-0.39449884280573855,0.3173302637706669
ENSG00000142655,PEX14,0.7390617874077144,0.4306635754475936,0.16748118609095644,0.5478427764847871,-0.4306635754475936,0.16748118609095652
ENSG00000130940,CASZ1,0.11282418366944526,2.6868884232841266,0.00000002095567614943966,0.016113022837787858,-2.6868884232841266,0.000000020955676149439656
ENSG00000272078,ENSG00000272078,0.003803062370880177,1.6544669455917482,0.6464218376126919,0,-1.6544669455917482,0.6464218376126919
ENSG00000175262,C1orf127,0.001267687456960059,-3.6674611492956135,0.0000320740089027855,0.030614743391796928,3.6674611492956135,0.000032074008902785496
ENSG00000120948,TARDBP,0.4487613597638609,-0.20477471813082349,0.5943768268421514,0.5172280330929901,0.20477471813082349,0.5943768268421519
