Feature,Normalized.Dispersion
ENSG00000289610,-2.0426991003210757
ENSG00000157870,-1.0236114020880915
ENSG00000142606,-1.4485358697204997
ENSG00000215912,-0.3252340348094584
ENSG00000177133,NaN
ENSG00000142611,-1.645056772822575
ENSG00000162591,0.9378738762677574
ENSG00000238260,1.1169598844466562
ENSG00000158109,-1.4221047941298168
ENSG00000116213,-0.7521375794191361
ENSG00000078900,-11.211526672056825
ENSG00000227589,NaN
ENSG00000235169,-0.6265091855030255
ENSG00000130764,-1.267801610751464
ENSG00000116198,-0.7357612672937559
ENSG00000169598,-1.2103804659743045
ENSG00000198912,-0.355072540443814
ENSG00000236423,0.301200960318005
ENSG00000284703,NaN
ENSG00000196581,12.796951758747687
ENSG00000287586,NaN
ENSG00000284616,NaN
ENSG00000236948,5.684416865187373
ENSG00000289893,NaN
ENSG00000131697,-0.36902396094918993
ENSG00000069424,-0.4156791257904528
ENSG00000116254,0.30579116604559237
ENSG00000116251,-1.133864210164259
ENSG00000226944,NaN
ENSG00000158286,0.32156912755072076
ENSG00000116237,-1.2753034944156032
ENSG00000158292,0.4175884701810258
ENSG00000097021,-0.46569478930104774
ENSG00000271746,-1.1254465295048965
ENSG00000069812,-0.2483679997873601
ENSG00000187017,1.4548700623562674
ENSG00000215788,3.324240648387513
ENSG00000171680,-0.44484811342734887
ENSG00000162408,0.5072145097449474
ENSG00000173662,0.005236909556401585
ENSG00000204859,-1.069734917898716
ENSG00000162413,-1.0617197378901986
ENSG00000116273,-0.1922539489520393
ENSG00000041988,-1.232790357334552
ENSG00000007923,-0.5131917339118462
ENSG00000228750,NaN
ENSG00000284744,NaN
ENSG00000237436,-0.5495238406966275
ENSG00000171735,1.9166647251609463
ENSG00000237365,NaN
ENSG00000269978,NaN
ENSG00000049245,-1.4228944716909073
ENSG00000049246,0.5972308884607289
ENSG00000236266,0.5798780052919221
ENSG00000049247,2.328576030465152
ENSG00000049249,5.548549532969281
ENSG00000116288,-1.2187502706032323
